doc Pairs 	hash similarity 	line similarity 	Link
input/96d1682f2b6c81d812b312804c6d1906_3_ShiftTacToe.java - input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java	63.91007627458852	154	Link
input/948b099ede09005b839a065e69c92724_5_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	63.890541344437835	105	Link
input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	63.80498145204027	108	Link
input/f5570c008d4ea2c45bfcb77778d6c755_1_ShiftTacToe.java - input/68422524eacdc14483ccfabbd4e55252_7_ShiftTacToe.java	63.710718897976754	121	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java	63.7093536732236	158	Link
input/426f847f3fd6374bb79d168bc1837824_6_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	63.61058601134216	124	Link
input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java - input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java	63.49843819723338	127	Link
input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java - input/8e0adf9a436b68df09494829a83f6931_2_ShiftTacToe.java	63.36725254394079	120	Link
input/eada16d94f898924e69e5d7b25f42a7e_3_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	63.27503974562798	109	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	63.27287716405606	152	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	63.240574506283664	123	Link
input/3feeecacf7ece64a3d68315f4047e69c_8_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	63.236168947055326	104	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/474841454631ad234c97b25ae79f5004_7_ShiftTacToe.java	63.19569120287253	138	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java	63.186077643908966	131	Link
